ID,Texto da Súmula,Data de Aprovação
sumula 66," É legítima a cobrança do tributo que houver sido aumentado após o orçamento, mas antes do início do respectivo exercício financeiro. ",1963-12-13
sumula 67, É inconstitucional a cobrança do tributo que houver sido criado ou aumentado no mesmo exercício financeiro. ,1963-12-13
sumula 68," É legítima a cobrança, pelos Municípios, no exercício de 1961, de tributo estadual, regularmente criado ou aumentado, e que lhes foi transferido pela Emenda Constitucional nº 5, de 21.11.61. ",1963-12-13
sumula 69, A Constituição estadual não pode estabelecer limite para o aumento de tributos municipais. ,1963-12-13
sumula 70, É inadmissível a interdição de estabelecimento como meio coercitivo para cobrança de tributo. ,1963-12-13
sumula 71," Embora pago indevidamente, não cabe restituição de tributo indireto. ",1963-12-13
sumula 72," No julgamento de questão constitucional, vinculada a decisão do Tribunal Superior Eleitoral, não estão impedidos os Ministros do Supremo Tribunal Federal que ali tenham funcionado no mesmo processo, ou no processo originário. ",1963-12-13
sumula 73," A imunidade das autarquias, implicitamente contida no art. 31, V, a, da Constituição Federal, abrange tributos estaduais e municipais. ",1963-12-13
sumula 74," O imóvel transcrito em nome de autarquia, embora objeto de promessa de venda a particulares, continua imune de impostos locais. ",1963-12-13
sumula 75," Sendo vendedora uma autarquia, a sua imunidade fiscal não compreende o impôsto de transmissão inter vivos, que é encargo do comprador. ",1963-12-13
sumula 76," As sociedades de economia mista não estão protegidas pela imunidade fiscal do art. 31, V, a, Constituição Federal. ",1963-12-13
sumula 77, Está isenta de impostos federais a aquisição de bens pela Rêde Ferroviária Federal. ,1963-12-13
sumula 78," Estão isentas de impostos locais as emprêsas de energia elétrica, no que respeita às suas atividades específicas. ",1963-12-13
sumula 79, O Banco do Brasil não tem isenção de tributos locais. ,1963-12-13
sumula 80, Para a retomada de prédio situado fora do domicílio do locador exige-se a prova da necessidade. ,1963-12-13
sumula 81," As cooperativas não gozam de isenção de impostos locais, com fundamento na Constituição e nas leis federais. ",1963-12-13
sumula 82," São inconstitucionais o impôsto de cessão e a taxa sôbre inscrição de promessa de venda de imóvel, substitutivos do impôsto de transmissão, por incidirem sôbre ato que não transfere o domínio. ",1963-12-13
sumula 83, Os ágios de importação incluem-se no valor dos artigos importados para incidência do impôsto de consumo. ,1963-12-13
sumula 84, Não estão isentos do impôsto de consumo os produtos importados pelas cooperativas. ,1963-12-13
sumula 85," Não estão sujeitos ao impôsto de consumo os bens de uso pessoal e doméstico trazidos, como bagagem, do exterior.",1963-12-13
sumula 86," Não está sujeito ao impôsto de consumo automóvel usado, trazido do exterior pelo proprietário. ",1963-12-13
sumula 87," Somente no que não colidirem com a L. 3.244, de 14.8.57, são aplicáveis acordos tarifários anteriores. ",1963-12-13
sumula 88," É válida a majoração da tarifa alfandegária, resultante da L. 3.244, de 14.8.57, que modificou o Acordo Geral sôbre Tarifas Aduaneiras e Comércio (GATT), aprovado pela L. 313, de 30.7.48. ",1963-12-13
sumula 89," Estão isentas do impôsto de importação frutas importadas da Argentina, do Chile, da Espanha e de Portugal, enquanto vigentes os respectivos acordos comerciais. ",1963-12-13
sumula 90, É legítima a lei local que faça incidir o impôsto de indústrias e profissões com base no movimento econômico do contribuinte. ,1963-12-13
sumula 91, A incidência do impôsto único não isenta o comerciante de combustíveis do impôsto de indústrias e profissões. ,1963-12-13
sumula 92," É constitucional o art. 100, nº II, da L. 4.563, de 20.2.57, do Município de Recife, que faz variar o impôsto de licença em função do aumento do capital do contribuinte. ",1963-12-13
sumula 93, Não está isenta do impôsto de renda a atividade profissional do arquiteto. ,1963-12-13
sumula 94," É competente a autoridade alfandegária para o desconto, na fonte, do impôsto de renda correspondente às comissões dos despachantes aduaneiros. ",1963-12-13
sumula 95," Para cálculo do impôsto de lucro extraordinário, incluem-se no capital as reservas do ano-base, apuradas em balanço. ",1963-12-13
sumula 96," O impôsto de lucro imobiliário incide sôbre a venda de imóvel da meação do cônjuge sobrevivente, ainda que aberta a sucessão antes da vigência da L. 3.470, de 28.11.58. ",1963-12-13
sumula 97," É devida a alíquota anterior do impôsto de lucro imobiliário, quando a promessa de venda houver sido celebrada antes da vigência da lei que a tiver elevado. ",1963-12-13
sumula 98," Sendo o imóvel alienado na vigência da L. 3.470, de 28.11.58, ainda que adquirido por herança, usucapião ou a título gratuito, é devido o impôsto de lucro imobiliário. ",1963-12-13
sumula 99," Não é devido o impôsto de lucro imobiliário, quando a alienação de imóvel adquirido por herança, ou a título gratuito, tiver sido anterior à vigência da L. 3.470, de 28.11.58.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 101, O mandado de segurança não substitui a ação popular.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 103," É devido o impôsto federal do selo na simples reavaliação de ativo, realizada posteriormente à vigência da L. 3.519, de 30.12.58.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 105," Salvo se tiver havido premeditação, o suicídio do segurado no período contratual de carência não exime o segurador do pagamento do seguro. ",1963-12-13
sumula 106," É legítima a cobrança de sêlo sôbre registro de automóveis, na conformidade da legislação estadual. ",1963-12-13
sumula 107," É inconstitucional o impôsto de selo de 3%, ad valorem, do Paraná, quanto aos produtos remetidos para fora do Estado. ",1963-12-13
sumula 108," É legítima a incidência do impôsto de transmissão inter vivos sôbre o valor do imóvel ao tempo da alienação e não da promessa, na conformidade da legislação local. ",1963-12-13
sumula 109," É devida a multa prevista no art. 15, § 6º, da L. 1.300, de 28.12.50, ainda que a desocupação do imóvel tenha resultado da notificação e não haja sido proposta ação de despejo. ",1963-12-13
sumula 110," O impôsto de transmissão inter vivos não incide sôbre a construção, ou parte dela, realizada pelo adquirente, mas sôbre o que tiver sido construído ao tempo da alienação do terreno. ",1963-12-13
sumula 111," É legítima a incidência do impôsto de transmissão inter vivos sôbre a restituição, ao antigo proprietário, de imóvel que deixou de servir à finalidade da sua desapropriação. ",1963-12-13
sumula 112, O impôsto de transmissão causa mortis é devido pela alíquota vigente ao tempo da abertura da sucessão. ,1963-12-13
sumula 113, O impôsto de transmissão causa mortis é calculado sôbre o valor dos bens na data da avaliação. ,1963-12-13
sumula 114, O impôsto de transmissão causa mortis não é exigível antes da homologação do cálculo. ,1963-12-13
sumula 115," Sôbre os honorários do advogado contratado pelo inventariante, com a homologação do juiz, não incide o impôsto de transmissão causa mortis. ",1963-12-13
sumula 116," Em desquite ou inventário, é legítima a cobrança do chamado impôsto de reposição, quando houver desigualdade nos valôres partilhados. ",1963-12-13
sumula 117, A lei estadual pode fazer variar a alíquota do impôsto de vendas e consignações em razão da espécie do produto. ,1963-12-13
sumula 118," Estão sujeitas ao impôsto de vendas e consignações as transações sôbre minerais, que ainda não estão compreendidos na legislação federal sôbre o impôsto único. ",1963-12-13
sumula 119," É devido o impôsto de vendas e consignações sôbre a venda de cafés ao Instituto Brasileiro do Café, embora o lote, originariamente, se destinasse à exportação. ",1963-12-13
sumula 120," Parede de tijolos de vidro translúcido pode ser levantada a menos de metro e meio do prédio vizinho, não importando servidão sôbre êle. ",1963-12-13
sumula 121," É vedada a capitalização de juros, ainda que expressamente convencionada. ",1963-12-13
sumula 122, O enfiteuta pode purgar a mora enquanto não decretado o comisso por sentença. ,1963-12-13
sumula 123," Sendo a locação regida pelo D. 24.150, de 20.4.34, o locatário não tem direito à purgação da mora prevista na L. 1.300, de 28.12.50. ",1963-12-13
sumula 124, É inconstitucional o adicional do impôsto de vendas e consignações cobrado pelo Estado do Espírito Santo sôbre cafés da cota de expurgo entregues ao Instituto Brasileiro do Café. ,1963-12-13
sumula 125, Não é devido o impôsto de vendas e consignações sôbre a parcela do impôsto de consumo que onera a primeira venda realizada pelo produtor. ,1963-12-13
sumula 126," É inconstitucional a chamada taxa de aguardente, do Instituto do Açúcar e do Álcool. ",1963-12-13
sumula 127," É indevida a taxa de armazenagem, posteriormente aos primeiros trinta dias, quando não exigível o impôsto de consumo, cuja cobrança tenha motivado a retenção da mercadoria. ",1963-12-13
